,Student ID,TA Name,Course Name,Semester,Grade,Attendance,Homework Submissions,Midterm Score,Final Score,TA Feedback,label
67,437,John Smith,Chemistry I,2021,B+,80,10,85,20,0,1
68,874,Alice White,Physics II,2021,B,90,15,90,100,1,1
69,764,Alice White,Physics II,2021,B+,80,10,85,20,1,1
70,840,Dave Thompson,Calculus I,2021,B+,85,20,80,10,1,1
71,649,Alice White,Calculus I,2021,B+,95,15,80,95,0,1
72,750,John Smith,Chemistry I,2021,A,75,10,95,20,0,1
73,518,Alice White,Physics II,2021,C,95,15,85,100,0,1
74,787,Jane Doe,Biology III,2021,A+,80,15,95,90,0,1
75,86,Jane Doe,Physics II,2021,A,95,10,85,20,1,1
76,879,John Smith,Biology III,2021,A+,95,20,90,100,1,1
77,148,Alice White,Biology III,2021,A+,80,15,85,90,1,1
78,576,Alice White,Chemistry I,2021,B+,75,10,95,90,1,1
79,980,Alice White,Physics II,2021,B,75,10,85,95,0,1
80,475,Jane Doe,Statistics II,2021,A+,75,10,95,100,0,1
81,667,John Smith,Physics II,2021,A+,90,10,90,100,1,1
82,135,Dave Thompson,Physics II,2021,B+,75,15,85,20,1,1
83,118,Jane Doe,Calculus I,2021,B,95,10,85,20,1,1
84,536,John Smith,Chemistry I,2021,B+,75,15,90,20,1,1
85,379,John Smith,Statistics II,2021,A+,80,20,95,20,1,1
86,264,Dave Thompson,Statistics II,2021,A,90,10,95,20,0,1
87,323,Bob Johnson,Statistics II,2021,A+,95,15,95,20,0,1
88,11,Dave Thompson,Biology III,2021,A,80,20,90,20,0,1
89,868,Dave Thompson,Chemistry I,2021,C,90,10,95,100,0,1
90,578,John Smith,Calculus I,2021,B,90,10,95,100,1,1
91,897,Bob Johnson,Biology III,2021,C,95,10,90,90,1,1
92,263,Bob Johnson,Statistics II,2021,B+,80,15,80,90,0,1
93,24,Alice White,Biology III,2021,A+,75,20,95,20,1,1
94,908,Dave Thompson,Biology III,2021,C,90,15,80,90,0,1
95,831,Dave Thompson,Statistics II,2021,B,75,15,85,20,1,1
96,840,Bob Johnson,Statistics II,2021,A,95,20,80,95,0,1
97,141,Bob Johnson,Calculus I,2021,A,95,10,80,10,1,1
98,454,Bob Johnson,Chemistry I,2021,B+,95,20,80,90,1,1
99,231,John Smith,Physics II,2021,B+,75,10,80,95,0,1
100,600,John Smith,Physics II,2021,A+,95,15,95,100,1,1
101,116,John Smith,Physics II,2021,C,85,20,95,95,0,0
102,280,Dave Thompson,Calculus I,2021,A+,90,10,95,95,0,0
103,550,Bob Johnson,Biology III,2021,A,75,20,80,95,1,1
104,199,John Smith,Statistics II,2021,A,85,15,90,95,0,1
105,778,Alice White,Chemistry I,2021,C,85,10,95,95,1,1
106,670,Bob Johnson,Physics II,2021,A+,90,10,80,20,1,1
107,743,Bob Johnson,Chemistry I,2021,B+,85,10,85,100,1,1
108,856,Bob Johnson,Chemistry I,2021,C,95,20,95,100,1,1
109,283,John Smith,Statistics II,2021,B+,90,15,90,20,1,1
110,286,Jane Doe,Calculus I,2021,C,95,10,85,100,0,1
111,128,Alice White,Statistics II,2021,B+,75,20,80,95,1,1
112,207,Alice White,Calculus I,2021,B,80,10,95,20,0,1
113,885,Jane Doe,Biology III,2021,A,85,15,90,20,0,1
114,258,Alice White,Chemistry I,2021,C,95,10,90,90,1,1
115,776,John Smith,Physics II,2021,B,80,15,85,100,0,1
116,657,Bob Johnson,Chemistry I,2021,C,95,15,95,90,1,1
117,511,Jane Doe,Statistics II,2021,A,90,15,95,100,0,1
118,560,Bob Johnson,Calculus I,2021,A,75,15,95,95,0,0
119,64,Alice White,Biology III,2021,B+,90,15,95,95,0,0
120,701,Dave Thompson,Biology III,2021,A,80,10,95,95,0,0
121,141,Alice White,Calculus I,2021,A,90,15,95,100,1,1
122,978,Alice White,Calculus I,2021,A,75,15,95,90,0,1
123,917,Jane Doe,Calculus I,2021,A+,95,15,95,90,1,1
124,740,Bob Johnson,Biology III,2021,A+,90,15,80,100,0,1
125,972,Jane Doe,Chemistry I,2021,A,85,10,85,95,1,1
126,107,John Smith,Chemistry I,2021,A+,95,10,95,20,0,1
127,642,Bob Johnson,Biology III,2021,C,75,10,95,90,1,1
128,895,John Smith,Physics II,2021,B,75,10,85,100,1,1
129,852,John Smith,Statistics II,2021,B,95,20,80,10,1,1
130,663,Jane Doe,Biology III,2021,A+,75,15,80,95,1,1
131,213,Alice White,Physics II,2021,B,95,20,90,100,1,1
132,735,Dave Thompson,Statistics II,2021,A+,85,10,95,100,1,1
133,16,Alice White,Chemistry I,2021,B+,90,10,95,10,0,1
134,653,Alice White,Calculus I,2021,A,95,10,85,90,0,1
135,388,Bob Johnson,Statistics II,2021,B,80,10,95,100,1,1
136,258,Jane Doe,Calculus I,2021,A,75,10,95,95,1,1
137,114,Bob Johnson,Physics II,2021,B,95,10,85,20,0,1
138,833,Dave Thompson,Biology III,2021,C,80,10,80,10,1,1
139,538,Jane Doe,Biology III,2021,C,90,20,85,10,0,1
140,798,Alice White,Calculus I,2021,A+,80,15,85,100,1,1
141,886,John Smith,Statistics II,2021,A,75,15,95,90,1,1
142,38,Alice White,Statistics II,2021,A+,95,15,80,100,0,1
143,916,Alice White,Physics II,2021,B+,75,20,85,20,1,1
144,25,Jane Doe,Biology III,2021,A+,90,15,95,90,0,1
145,893,Alice White,Calculus I,2021,A+,90,15,85,10,1,1
146,52,Dave Thompson,Chemistry I,2021,A+,95,20,90,10,1,1
147,851,Alice White,Biology III,2021,B,95,15,90,100,1,1
148,91,John Smith,Biology III,2021,B,95,20,90,95,0,1
149,138,Jane Doe,Physics II,2021,B+,95,20,80,20,1,1
150,937,Dave Thompson,Biology III,2021,A,95,20,85,100,0,1
151,209,Jane Doe,Physics II,2021,C,80,20,95,100,0,1
152,61,John Smith,Physics II,2021,A,95,20,85,10,0,1
153,111,Bob Johnson,Chemistry I,2021,C,95,20,80,100,0,1
154,258,Dave Thompson,Statistics II,2021,B,85,10,80,10,1,1
155,849,John Smith,Biology III,2021,A+,90,20,85,100,0,1
156,135,Bob Johnson,Physics II,2021,B+,90,15,90,100,0,1
157,60,John Smith,Physics II,2021,B+,90,15,90,95,1,1
158,189,Bob Johnson,Statistics II,2021,B+,85,10,90,95,1,1
159,336,Bob Johnson,Statistics II,2021,A,75,15,80,100,1,1
160,625,Jane Doe,Physics II,2021,B,95,20,85,95,1,1
161,27,Alice White,Biology III,2021,B,90,10,85,90,0,1
162,1,Alice White,Biology III,2021,A+,75,15,85,90,0,1
163,726,John Smith,Biology III,2021,A,80,15,85,100,0,1
164,86,Bob Johnson,Statistics II,2021,A+,90,20,90,10,1,1
165,667,Alice White,Biology III,2021,C,90,10,80,10,1,1
166,80,John Smith,Biology III,2021,B,80,10,85,100,0,1
167,572,John Smith,Biology III,2021,B+,75,10,95,90,1,1
168,821,Dave Thompson,Statistics II,2021,A+,95,15,80,100,0,1
169,548,Jane Doe,Calculus I,2021,C,80,10,85,10,1,1
170,464,Jane Doe,Calculus I,2021,B+,95,10,95,90,1,1
171,408,Bob Johnson,Biology III,2021,B+,80,15,80,20,1,1
172,803,Alice White,Calculus I,2021,A+,90,20,80,100,0,1
173,801,Bob Johnson,Biology III,2021,A+,90,10,95,95,1,1
174,401,Alice White,Statistics II,2021,A+,90,10,85,100,1,1
175,837,Alice White,Biology III,2021,B,75,15,80,90,0,1
176,931,Alice White,Chemistry I,2021,A,90,10,95,10,0,1
177,467,Alice White,Physics II,2021,A+,80,15,85,100,0,1
178,875,Alice White,Statistics II,2021,B,95,15,80,100,1,1
179,175,Dave Thompson,Chemistry I,2021,A,90,20,80,20,1,1
180,866,Dave Thompson,Chemistry I,2021,C,75,20,85,20,0,1
181,864,Alice White,Physics II,2021,A,95,20,85,100,1,1
182,601,John Smith,Chemistry I,2021,B,95,20,80,95,0,1
183,59,John Smith,Physics II,2021,B,75,10,95,100,1,1
184,573,Jane Doe,Biology III,2021,A,85,15,80,20,1,1
185,406,Alice White,Statistics II,2021,A,75,15,80,100,1,1
186,487,John Smith,Statistics II,2021,B,95,15,85,20,0,1
187,754,Jane Doe,Statistics II,2021,B,75,20,90,20,0,1
188,283,John Smith,Physics II,2021,C,95,15,85,95,1,1
189,737,Jane Doe,Physics II,2021,B,90,15,80,95,0,1
190,456,Bob Johnson,Chemistry I,2021,B,90,10,90,90,0,0
191,222,John Smith,Statistics II,2021,B+,85,20,95,90,1,1
192,880,Alice White,Chemistry I,2021,B+,95,15,95,10,1,1
193,602,Alice White,Biology III,2021,B+,90,10,80,10,0,1
194,527,Dave Thompson,Chemistry I,2021,A+,75,15,90,100,0,1
195,932,Bob Johnson,Statistics II,2021,A+,80,15,95,95,1,1
196,877,Bob Johnson,Physics II,2021,B,95,15,80,100,1,1
197,185,John Smith,Chemistry I,2021,B+,90,15,95,100,1,1
198,716,Jane Doe,Chemistry I,2021,C,75,10,80,95,1,1
199,41,Dave Thompson,Physics II,2021,C,75,10,95,100,1,1
200,429,Bob Johnson,Physics II,2021,C,90,15,95,100,0,1
201,683,Bob Johnson,Statistics II,2021,B,75,10,95,90,0,1
202,780,Alice White,Biology III,2021,B+,90,15,90,20,0,1
203,708,Alice White,Statistics II,2021,B,95,10,95,90,0,1
204,250,Jane Doe,Chemistry I,2021,B,95,15,95,95,0,0
205,707,John Smith,Statistics II,2021,C,95,20,95,20,1,1
206,485,Jane Doe,Statistics II,2021,B+,90,20,85,95,1,1
207,230,John Smith,Physics II,2021,A+,75,10,90,95,1,1
208,608,Dave Thompson,Biology III,2021,A,75,15,95,10,1,1
209,730,Bob Johnson,Biology III,2021,B,90,20,80,90,0,1
210,4,Jane Doe,Statistics II,2021,B+,80,20,85,100,0,1
211,449,John Smith,Physics II,2021,A,90,15,85,100,0,1
212,887,Dave Thompson,Physics II,2021,A,75,20,80,95,1,1
213,511,Jane Doe,Chemistry I,2021,A+,90,20,95,10,0,1
214,517,Bob Johnson,Calculus I,2021,A+,75,15,95,10,1,1
215,898,Dave Thompson,Chemistry I,2021,B,75,20,85,95,1,1
216,46,Alice White,Chemistry I,2021,B,90,10,85,20,0,1
217,331,Bob Johnson,Chemistry I,2021,B+,95,10,85,100,1,1
218,126,Alice White,Calculus I,2021,A+,75,20,80,10,0,1
219,137,Dave Thompson,Physics II,2021,A+,75,15,80,95,0,1
220,648,Dave Thompson,Physics II,2021,B+,95,20,80,95,1,1
221,826,Alice White,Biology III,2021,A+,75,15,95,20,1,1
222,871,John Smith,Biology III,2021,C,90,15,85,95,1,1
223,831,Dave Thompson,Statistics II,2021,A,85,20,85,95,0,1
224,189,Jane Doe,Statistics II,2021,C,75,20,80,100,0,1
225,143,Jane Doe,Statistics II,2021,A,95,10,85,20,0,1
226,585,Dave Thompson,Biology III,2021,B+,80,10,95,90,0,1
227,426,Alice White,Biology III,2021,B+,90,20,80,100,1,1
228,178,Alice White,Chemistry I,2021,A,75,15,80,100,1,1
229,350,Bob Johnson,Physics II,2021,A,85,20,95,20,1,1
230,477,Alice White,Biology III,2021,A,75,10,85,90,0,1
231,435,John Smith,Calculus I,2021,A,85,15,85,10,0,1
232,921,John Smith,Chemistry I,2021,B,95,15,90,20,0,1
233,918,Jane Doe,Calculus I,2021,A+,95,10,85,100,1,1
234,226,Dave Thompson,Calculus I,2021,A+,75,15,80,100,1,1
235,278,Jane Doe,Physics II,2021,B+,90,10,95,10,0,1
236,750,Dave Thompson,Calculus I,2021,B,85,10,90,100,1,1
237,94,Jane Doe,Calculus I,2021,A,95,15,85,20,0,1
238,885,Dave Thompson,Calculus I,2021,B,90,10,85,95,0,1
239,330,Dave Thompson,Calculus I,2021,A,75,20,95,100,1,1
240,709,Jane Doe,Chemistry I,2021,A+,85,10,95,20,0,1
241,965,Bob Johnson,Chemistry I,2021,A,80,10,90,90,0,1
242,450,John Smith,Physics II,2021,A+,75,20,95,90,1,1
243,478,Alice White,Physics II,2021,A,85,20,85,20,1,1
244,576,John Smith,Calculus I,2021,B+,95,20,85,95,0,1
245,150,Alice White,Statistics II,2021,A+,80,10,95,100,0,1
246,653,Dave Thompson,Calculus I,2021,B+,90,15,90,10,1,1
247,743,Jane Doe,Calculus I,2021,B,75,10,85,10,1,1
248,985,Jane Doe,Physics II,2021,A,80,15,85,100,0,1
249,510,Alice White,Biology III,2021,B,85,15,90,100,0,1
250,757,Jane Doe,Physics II,2021,A,75,15,85,95,1,1
251,923,Jane Doe,Chemistry I,2021,A+,90,20,95,90,0,1
252,815,Jane Doe,Physics II,2021,A,80,20,90,20,0,1
253,347,John Smith,Biology III,2021,C,95,15,90,20,1,1
254,277,Jane Doe,Calculus I,2021,C,95,10,85,90,0,1
255,31,Bob Johnson,Biology III,2021,C,85,10,80,20,1,1
256,975,Alice White,Physics II,2021,B+,75,10,85,20,1,1
257,377,John Smith,Statistics II,2021,C,85,15,80,90,0,1
258,38,John Smith,Chemistry I,2021,A,80,10,80,20,1,1
259,551,Dave Thompson,Biology III,2021,B,90,15,80,95,1,1
260,676,Dave Thompson,Physics II,2021,B+,95,15,95,100,1,1
261,356,Jane Doe,Calculus I,2021,A+,90,10,80,90,0,1
262,961,John Smith,Physics II,2021,B+,85,10,90,95,1,1
263,267,John Smith,Calculus I,2021,B,90,10,80,90,0,1
264,581,Jane Doe,Statistics II,2021,C,90,10,95,95,1,1
265,290,Alice White,Chemistry I,2021,B,95,15,95,95,1,1
266,229,John Smith,Biology III,2021,B+,95,15,80,95,1,1
267,773,Dave Thompson,Physics II,2021,B+,75,15,85,100,1,1
268,20,Jane Doe,Physics II,2021,B+,80,10,90,100,1,1
269,63,John Smith,Biology III,2021,B,75,20,85,100,0,1
270,813,Dave Thompson,Calculus I,2021,A,95,10,95,90,0,1
271,492,Bob Johnson,Chemistry I,2021,A,90,20,90,95,1,1
272,170,John Smith,Statistics II,2021,C,75,15,95,100,1,1
273,13,Jane Doe,Biology III,2021,A+,95,10,95,90,0,1
274,649,Dave Thompson,Chemistry I,2021,B,85,20,90,90,1,1
275,389,John Smith,Physics II,2021,A,80,20,85,95,1,1
276,934,Dave Thompson,Chemistry I,2021,C,95,20,90,20,0,1
277,736,Jane Doe,Statistics II,2021,A+,85,15,80,20,1,1
278,606,John Smith,Chemistry I,2021,C,80,15,95,90,0,1
279,689,Jane Doe,Physics II,2021,C,75,20,95,20,1,1
280,348,Alice White,Statistics II,2021,A+,95,10,80,95,0,1
281,357,John Smith,Statistics II,2021,B+,80,15,95,100,0,1
282,668,John Smith,Statistics II,2021,A,85,20,80,20,0,1
283,633,Dave Thompson,Physics II,2021,A,85,15,95,20,0,1
284,892,John Smith,Calculus I,2021,A+,80,10,85,95,1,1
285,171,Alice White,Physics II,2021,A,85,10,95,20,1,1
286,198,Dave Thompson,Calculus I,2021,B,90,15,90,100,0,1
287,169,Dave Thompson,Calculus I,2021,B,95,10,85,90,1,1
288,684,Bob Johnson,Physics II,2021,B,75,15,85,20,1,1
289,157,John Smith,Chemistry I,2021,A+,95,15,85,100,1,1
290,324,Bob Johnson,Physics II,2021,C,95,20,95,95,1,1
291,210,Alice White,Statistics II,2021,C,95,15,95,100,0,1
292,975,John Smith,Chemistry I,2021,B+,75,10,85,20,1,1
293,793,Bob Johnson,Biology III,2021,B+,90,10,95,95,1,1
294,196,Bob Johnson,Biology III,2021,B,90,20,85,100,1,1
295,270,Dave Thompson,Biology III,2021,B,80,20,80,20,1,1
296,699,Bob Johnson,Statistics II,2021,A+,95,20,85,100,1,1
297,62,Bob Johnson,Statistics II,2021,B,90,15,85,90,0,1
298,498,John Smith,Calculus I,2021,B,80,15,85,95,1,1
299,657,John Smith,Statistics II,2021,B,80,15,85,10,1,1
300,738,Dave Thompson,Calculus I,2021,A,90,10,85,10,1,1
301,117,John Smith,Biology III,2021,C,80,15,90,20,1,1
302,915,Alice White,Physics II,2021,A,90,10,80,20,0,1
303,413,Dave Thompson,Physics II,2021,B,90,15,80,100,1,1
304,982,Alice White,Statistics II,2021,B,85,10,95,20,1,1
305,718,John Smith,Biology III,2021,A,80,15,95,90,0,1
306,868,John Smith,Biology III,2021,A,90,10,95,20,1,1
307,578,Dave Thompson,Calculus I,2021,A+,90,15,80,20,0,1
308,301,Bob Johnson,Calculus I,2021,A+,85,15,85,20,1,1
309,327,Jane Doe,Biology III,2021,B,90,15,80,95,1,1
310,540,Jane Doe,Statistics II,2021,A,85,15,80,90,0,1
311,315,John Smith,Statistics II,2021,A+,90,10,80,95,0,1
312,950,Alice White,Biology III,2021,B+,80,10,80,95,0,1
313,776,Dave Thompson,Physics II,2021,A,80,20,90,95,1,1
314,733,Bob Johnson,Physics II,2021,C,80,20,80,90,1,1
315,522,John Smith,Calculus I,2021,B+,95,20,80,20,1,1
316,277,Alice White,Biology III,2021,B+,95,20,95,10,0,1
317,803,John Smith,Physics II,2021,A,95,10,95,20,0,1
318,4,Jane Doe,Statistics II,2021,B,75,15,95,10,1,1
319,181,John Smith,Chemistry I,2021,C,85,15,95,100,1,1
320,85,Alice White,Chemistry I,2021,A+,75,20,95,10,0,1
321,486,Jane Doe,Biology III,2021,A+,95,15,85,90,0,1
322,537,John Smith,Calculus I,2021,B,90,10,95,10,1,1
323,532,Jane Doe,Chemistry I,2021,C,85,20,95,100,1,1
324,199,Dave Thompson,Statistics II,2021,C,90,20,85,95,1,1
325,711,Alice White,Statistics II,2021,B+,85,20,80,95,1,1
326,96,Alice White,Statistics II,2021,B+,85,15,80,10,0,1
327,96,Dave Thompson,Chemistry I,2021,C,75,15,85,20,1,1
328,895,Alice White,Physics II,2021,A,75,10,90,10,0,1
329,790,Alice White,Statistics II,2021,A,90,20,95,90,1,1
330,561,John Smith,Calculus I,2021,A,90,10,90,20,1,1
331,89,Bob Johnson,Biology III,2021,C,95,10,95,90,1,1
332,518,John Smith,Biology III,2021,A+,80,10,95,95,0,0
333,947,Dave Thompson,Biology III,2021,A,75,15,95,20,1,1
334,923,Dave Thompson,Physics II,2021,A+,90,10,95,20,0,1
335,658,Bob Johnson,Biology III,2021,A,95,10,90,10,1,1
336,510,John Smith,Biology III,2021,C,90,10,95,10,1,1
337,524,John Smith,Chemistry I,2021,A,75,15,80,20,0,1
338,28,John Smith,Physics II,2021,A+,90,15,95,90,1,1
339,275,Jane Doe,Physics II,2021,B,75,10,95,20,0,1
340,555,Jane Doe,Chemistry I,2021,A+,80,20,95,95,0,0
341,465,John Smith,Calculus I,2021,B,90,20,95,100,0,1
342,99,Jane Doe,Biology III,2021,A+,90,15,95,10,1,1
343,655,John Smith,Calculus I,2021,A,80,10,80,20,1,1
344,453,Dave Thompson,Chemistry I,2021,A,85,10,95,95,0,0
345,292,John Smith,Chemistry I,2021,A+,85,20,95,10,1,1
346,609,Jane Doe,Chemistry I,2021,A,75,10,80,20,1,1
347,597,Bob Johnson,Chemistry I,2021,A,90,15,90,100,1,1
348,995,Dave Thompson,Statistics II,2021,C,80,10,85,95,0,1
349,810,Alice White,Chemistry I,2021,B+,75,20,90,20,0,1
350,603,Bob Johnson,Calculus I,2021,B+,80,15,95,20,1,1
351,894,Bob Johnson,Chemistry I,2021,A+,95,20,85,95,0,1
352,301,Alice White,Calculus I,2021,B+,90,15,80,95,1,1
353,542,Dave Thompson,Chemistry I,2021,B,75,10,95,95,1,1
354,807,Alice White,Chemistry I,2021,A+,95,15,90,20,1,1
355,174,Dave Thompson,Statistics II,2021,A+,85,20,95,10,1,1
356,186,Dave Thompson,Chemistry I,2021,B,90,15,90,95,1,1
357,30,Dave Thompson,Biology III,2021,B+,90,20,95,90,1,1
358,251,Bob Johnson,Statistics II,2021,B,90,20,95,20,0,1
359,621,Dave Thompson,Statistics II,2021,A,90,20,95,95,1,1
360,440,Alice White,Biology III,2021,A+,75,15,80,95,0,1
361,213,Bob Johnson,Statistics II,2021,C,90,10,95,20,0,1
362,730,Dave Thompson,Chemistry I,2021,B,75,10,90,100,1,1
363,344,Jane Doe,Biology III,2021,A+,90,15,85,100,0,1
364,694,Jane Doe,Chemistry I,2021,A+,75,10,90,95,1,1
365,854,Dave Thompson,Statistics II,2021,B,75,10,95,10,0,1
366,37,Jane Doe,Physics II,2021,C,90,15,95,90,1,1
367,346,John Smith,Biology III,2021,A+,95,10,95,90,1,1
368,662,Bob Johnson,Calculus I,2021,A,75,10,80,95,0,1
369,494,John Smith,Statistics II,2021,A,75,10,80,95,1,1
370,97,Bob Johnson,Physics II,2021,A,95,10,80,100,1,1
371,536,Alice White,Statistics II,2021,C,75,20,80,95,0,1
372,325,Jane Doe,Chemistry I,2021,B+,85,20,80,95,1,1
373,344,Jane Doe,Chemistry I,2021,A,95,15,95,20,0,1
374,867,Jane Doe,Chemistry I,2021,B,95,20,85,10,1,1
375,634,Dave Thompson,Physics II,2021,B+,95,10,95,10,1,1
376,86,Bob Johnson,Chemistry I,2021,B,90,10,95,100,0,1
377,161,Dave Thompson,Statistics II,2021,C,75,10,95,95,1,1
378,17,Jane Doe,Statistics II,2021,A,95,20,90,95,0,1
379,244,Alice White,Statistics II,2021,A+,95,10,95,95,0,0
380,958,Jane Doe,Biology III,2021,A,90,15,95,20,0,1
381,780,Dave Thompson,Statistics II,2021,C,95,10,95,95,1,1
382,798,Jane Doe,Chemistry I,2021,A,95,15,80,20,0,1
383,218,John Smith,Biology III,2021,A,80,10,95,95,0,0
384,909,John Smith,Biology III,2021,A,80,15,90,20,1,1
385,6,Dave Thompson,Biology III,2021,C,75,10,90,10,0,1
386,963,John Smith,Biology III,2021,A,85,10,80,100,1,1
387,381,Bob Johnson,Physics II,2021,A+,75,10,90,95,0,1
388,779,Bob Johnson,Statistics II,2021,A+,80,15,90,95,1,1
389,235,Dave Thompson,Physics II,2021,B+,95,15,80,20,1,1
390,384,John Smith,Calculus I,2021,B+,90,20,95,20,1,1
391,124,Bob Johnson,Physics II,2021,B+,75,10,85,20,1,1
392,60,John Smith,Biology III,2021,B+,75,15,90,90,1,1
393,501,Jane Doe,Statistics II,2021,A+,90,15,85,90,1,1
394,10,John Smith,Statistics II,2021,B+,95,20,80,100,0,1
395,971,John Smith,Chemistry I,2021,B,90,10,85,20,0,1
396,528,Dave Thompson,Physics II,2021,C,95,10,85,95,1,1
397,596,Jane Doe,Statistics II,2021,C,75,15,80,20,0,1
398,426,Bob Johnson,Calculus I,2021,A+,95,15,85,95,1,1
399,684,Bob Johnson,Calculus I,2021,C,95,15,95,95,0,0
400,147,John Smith,Physics II,2021,C,90,20,85,10,1,1
401,457,Alice White,Chemistry I,2021,A,95,10,85,20,0,1
402,612,Alice White,Calculus I,2021,B+,75,10,90,90,0,0
403,783,Bob Johnson,Chemistry I,2021,B+,85,15,85,95,1,1
404,727,John Smith,Physics II,2021,A,75,20,95,100,0,1
405,597,John Smith,Statistics II,2021,A+,95,10,95,100,1,1
406,551,Jane Doe,Chemistry I,2021,B,90,15,90,20,1,1
407,5,Dave Thompson,Calculus I,2021,A+,85,20,95,10,0,1
408,499,Alice White,Chemistry I,2021,B,80,15,85,95,0,1
409,598,John Smith,Statistics II,2021,B,95,20,80,100,0,1
410,505,Bob Johnson,Statistics II,2021,A,85,20,80,100,1,1
411,287,Alice White,Calculus I,2021,A+,85,10,90,20,0,1
